split,stem,tooth_idx,slot,paper_eq1,mask_pca,cej_int_midpoint
train,10,0,1,56.37372612174318,42.92148037037008,48.687029209187
train,10,1,1,81.4822145329346,81.78508910059065,81.6973307243226
train,10,2,1,44.42258309633081,46.55813501695516,46.5991119319298
train,10,3,1,43.576125133833735,43.944800366069174,45.64433090842375
train,1001,0,0,6.637346076675235,6.722184594550132,6.659703834152745
train,1001,0,1,8.853029672075525,10.07106454853922,10.773312650422843
train,1001,1,1,6.731808206278222,7.257177735471883,3.5127338646366906
train,1001,2,1,3.6910969929780837,3.9465832780729753,4.066372982541874
train,1003,0,1,6.04964684857206,5.935434453071904,6.171472838949763
train,1003,1,1,14.702352639116215,15.281397132581024,15.131699792214013
train,1003,2,1,91.32774302291868,8.466343051444506,61.2377576016194
train,1005,0,1,9.128195958743785,9.66615469963261,9.793387253156869
train,1005,1,1,9.45920510020057,9.693064726801506,9.665745558348071
train,1005,2,1,1.408621748340559,1.478339101313414,1.6497110790886826
train,1005,3,1,1.880576804093171,1.8142835021558632,1.9492746771900302
train,1008,0,0,2.3660585969843226,2.3070439841371777,2.3214906217118405
train,1008,0,1,14.669983201887854,16.073559047603904,16.484441804424062
train,1008,1,1,36.64207005675736,39.811799089344476,34.45072401686949
train,1008,2,0,33.857834483965995,34.51752213745301,34.49195318875698
train,1008,2,1,10.42993010114779,12.63857224718739,12.677807689595975
train,1009,1,1,3.291213335655795,3.441845298509674,3.2573723311957536
train,1009,2,1,97.07796571413282,97.40932034542685,97.29811860836176
train,1009,3,1,17.810631221379023,17.82811158915447,17.819174333125464
train,101,0,1,100.0,97.24662020737301,97.99421473589817
train,101,1,0,100.0,100.0,100.0
train,101,1,1,44.68433723651865,45.547217316255924,45.63488914877267
train,1010,0,1,,,4.96134552671064
train,1010,1,1,1.1578166027507144,1.2870444052200865,1.615106532696347
train,1010,2,1,3.505551538490011,3.4622192262527696,3.4535279234933722
train,1011,1,1,2.0106655913608473,2.1040650750968157,0.11530862226575594
train,1011,2,1,7.270013359941357,9.11665306739607,8.822921767100954
train,1011,3,1,6.705314398320001,6.732797851365296,7.476667855625009
train,1011,4,0,5.685739101600941,5.870728367531684,6.076753115105124
train,1011,4,1,10.919698716495542,10.874018434952609,10.965181941398216
train,1012,0,1,0.6297376570975316,0.2827412724723119,0.30277276624496097
train,1012,1,1,83.22616687354653,12.046558202362434,70.21833915688518
train,1014,0,1,5.941936830370365,5.991998815239649,5.986187467501071
train,1014,1,1,3.4814656882271144,3.067281484806601,4.102961231626886
train,1014,2,0,4.056932615365281,4.1551781727264,4.6630639407649745
train,1014,2,1,2.8872637117355913,2.721306327674315,3.107150343129333
train,1015,0,1,21.10199364368442,22.059147981344747,22.004832740255274
train,1015,1,1,13.252112486143256,13.948358603762134,11.374967060868782
train,1015,2,1,16.5456945295236,16.87793632822842,16.947083354419192
train,1016,1,0,3.6718012941055673,3.9840419547510284,3.9085809179326936
train,1016,1,1,2.567033366199303,2.80022300168238,2.8724194359724966
train,1016,2,1,5.504669434562823,5.7315209969447265,5.827787937590665
train,1016,3,1,10.449947307883779,11.117276754159628,11.38848024194564
train,1017,0,1,5.826342412471554,6.0703267834218915,6.077515064452286
train,1017,1,0,7.00052646947186,6.614507434422275,7.055286536098021
train,1017,1,1,10.00927486575376,10.005029716098257,9.988710357567195
train,1017,2,1,14.717371488351633,14.811001421760874,14.79155055197801
train,1018,1,0,11.92938307780214,11.97738189649527,12.138457085273629
train,1018,1,1,11.149864451579758,11.121308454905146,11.165615819319266
train,1018,2,0,8.432984592844846,8.54706161076114,8.507414679516222
train,1018,2,1,5.390625508035436,5.433186517847063,5.460552358989943
train,1019,0,0,3.450346238258585,3.533978012115324,2.942186062519171
train,1019,0,1,3.175025790487989,2.9690923228823904,
train,1019,1,0,4.8167776551450245,4.819842866328524,4.805640050336674
train,1019,1,1,2.736488462959571,3.050646944173879,3.2074047064151348
train,1019,2,1,7.607876967222378,7.687239685828981,7.690714646031399
train,1020,0,1,7.118621102773876,,
train,1020,1,0,6.164760053117904,6.329938299711299,6.802288895063589
train,1020,1,1,13.267256782173872,13.217469933240206,13.277461473774801
train,1023,1,1,7.058832103177679,8.065526121072274,
train,1023,2,0,7.426269421070924,7.5988669308786285,7.444389734974706
train,1023,2,1,0.31779192938491213,0.16362344082983055,0.03157561845551115
train,1023,3,1,7.1121371953921635,7.5419592753373,7.591631243077912
train,1024,1,1,69.0912082635783,70.88788559421133,71.07935701004142
train,1024,2,1,92.50003326227994,93.16915004947668,93.21660354204097
train,1024,3,1,60.757210481121135,60.96297696549067,60.956167172700084
train,1024,4,1,91.94802795632843,91.32811617334865,92.31411459448611
train,1025,0,1,8.325854286261169,8.191302231333559,8.591337575826032
train,1025,1,1,10.346812339080406,10.168488744540921,10.295158243929126
train,1025,2,1,78.00258822156225,21.80576824350046,68.13094459384816
train,1025,3,0,8.071424569855862,8.349050484524774,8.473921458772208
train,1025,3,1,2.588464097571872,2.48051117090199,2.5141267074115756
train,1029,0,1,7.178230045348386,8.032332811359653,9.468784954425573
train,1029,1,1,,3.9841035240532037,
train,1030,0,1,7.463031009196039,7.484444646157036,7.0457321297570665
train,1030,1,1,9.90090596136825,9.891799303023879,9.896090304091063
train,1030,2,0,3.271424336058198,3.4248352047690416,3.5737018634338416
train,1030,2,1,10.67991519352642,10.471015723610295,10.640007891261979
train,1031,1,1,48.93426140808805,49.01545954688825,48.97751286213217
train,1031,2,1,,69.26335826447765,94.28297667533006
train,1031,3,1,10.721555517644125,14.447088890109974,12.923529777280157
train,1032,1,0,8.74163135090936,8.839162300475996,8.743957051367488
train,1032,1,1,3.2558115638835603,3.772453643641488,4.714182355016585
train,1032,2,0,6.004661594288919,6.386068708302391,6.060929191156058
train,1033,1,0,17.928946032895166,17.900878619964427,18.019673316549206
train,1033,1,1,7.808104520509247,8.044563274766595,8.107847029756266
train,1033,2,1,14.51717249844907,14.827823581045754,14.88395471424492
train,1033,3,1,20.453172846553556,22.24271719845559,21.805450437816152
train,1035,0,1,87.90315276224526,54.360685412931566,85.1149335849808
train,1035,1,1,8.953397749299018,9.135116261091298,9.090825841619361
train,1037,0,0,14.895347981882058,16.484060568016652,16.55399029529068
train,1037,0,1,6.922495153061066,7.071767065484469,7.063062163190498
train,1037,1,0,6.7714921455812425,6.6129455250685805,7.2954184276196905
train,1037,1,1,7.02668099048072,7.296322914434131,7.728668447616148
train,1038,0,0,19.045434384723787,19.354124066414734,19.30105938428819
train,1038,0,1,21.343487750576855,21.527478004625276,21.583087177572114
train,1038,1,1,84.26133094005968,21.922127716615915,68.65845723691032
train,1038,2,1,92.92649170363417,16.281149139612427,65.38623311123962
train,1038,3,1,29.91339604385171,29.959466576666,29.919903794011717
train,1040,0,0,8.505376247432919,8.720487555652696,8.638221263121613
train,1040,0,1,7.189643180538938,7.563609070116027,7.705778357573773
train,1040,1,1,9.569632267116202,9.573919455959734,9.596299525526993
train,1041,0,1,3.6796171812580685,5.9168972077074065,7.679366612639396
train,1041,1,1,2.833478596381579,2.9126687325117784,2.932663078343371
train,1041,2,0,7.102961395093489,6.816978896230398,7.0771558084530675
train,1041,2,1,9.553628747862922,9.795145289234831,10.048873871116346
train,1041,3,1,2.401453160267333,2.410969904323749,2.4999564854225307
train,1043,0,1,72.24972056203876,18.819876807191363,53.30059361347992
train,1043,1,0,21.079529125300066,21.29523402477285,21.40144444125069
train,1043,1,1,13.078839225766997,13.763915856866129,13.644232897836735
train,1043,2,1,18.659505312149506,18.930977895448404,18.86931862875612
train,1043,4,1,15.216783910189651,15.204851539079979,15.217583075594721
train,1045,2,0,8.379478368207653,8.5394093273642,8.51234453116916
train,1045,2,1,4.210719928834408,4.2167579415698695,4.218844673668483
train,1046,1,0,7.9316719803256195,7.834463703910126,7.859529373720271
train,1046,1,1,8.398803416037682,8.67634797619314,8.747473711245272
train,1046,2,1,11.60442158760489,12.149938454583829,8.608451294132841
train,1047,0,1,15.888607155319765,15.809812306868992,16.3912830732287
train,1047,1,1,43.344657497877805,32.91194170504839,57.798325019430685
train,1049,0,1,28.30161873146453,28.5955884604056,28.540002367703515
train,1049,2,1,19.81926493916569,19.586893916932908,19.727325022016974
train,1049,3,1,15.553776162730626,16.43970415671534,16.46706473496813
train,1049,4,1,11.230392090617377,11.259415863452833,11.236062839896992
train,105,1,1,12.795225915458882,13.067689836672228,13.187356320638365
train,105,3,1,10.268670226851333,10.803823991357591,10.62555186413771
train,1050,0,1,24.300743438377356,24.76170796428504,24.663192998076397
train,1050,1,1,19.54211201053986,19.772014657660034,19.63566279629979
train,1050,2,1,5.363060975891564,5.262183398667866,13.563114639284224
train,1053,0,1,20.405724266769422,11.008259338146889,
train,1053,1,1,13.795162292805188,13.971309543361729,13.879907521127405
train,1056,0,1,10.931777014920511,12.608912425322943,11.604198881241853
train,1056,1,1,13.760557427750959,14.61097161697585,14.91165550519561
train,1056,2,1,14.89668454332113,15.51423410006206,15.532744307199467
train,1057,1,1,27.147098666391877,29.319825791479893,38.17974022188962
train,1057,2,1,18.01681283500698,18.323875008664093,18.314600253213943
train,1058,0,0,11.473240503442792,11.459228553380488,11.466678275933415
train,1058,0,1,8.024316651481346,8.148041803854241,8.181090799563465
train,1058,1,1,,19.627541655603125,
train,1058,2,0,15.057031632927236,15.05361486749742,15.055669513152855
train,1058,2,1,10.923760026001213,11.791169366820634,12.322147992925492
train,1060,0,1,8.532881469758816,8.377236698879855,11.720504575750406
train,1060,1,0,11.287131908136228,12.28674748081236,12.485301860621036
train,1060,1,1,4.926929165836004,4.914048367718329,4.916610734328638
train,1061,0,0,22.133762220605746,22.211721139534163,22.251863975653475
train,1061,0,1,21.7655991593013,20.962047911634414,21.23884970136764
train,1061,1,1,7.275780772133582,7.5098518105205985,7.498339728382036
train,1063,0,1,16.777722627515146,16.84603271528841,16.869043784727317
train,1063,1,1,43.79313477970215,25.873158381680078,56.61900473611815
train,1063,2,0,9.81254639864833,9.787455486248401,9.792991512752677
train,1063,2,1,18.71744267348033,19.167932912315084,19.26419023478071
train,1068,0,1,6.360053183014797,7.0407939466086855,3.381372105929913
train,1068,1,1,5.525991346756631,6.971422810685753,7.94446560209065
train,1068,2,1,7.238218994246154,7.249054881418464,7.258426534577225
train,1069,1,1,9.204885517593008,9.778973330412901,9.792272159617506
train,1069,2,1,5.195176234895482,5.451383705916661,5.265235648722524
train,1070,0,1,,3.6744492231051273,
train,1070,1,1,0.9470754659210616,1.502988513673586,6.277123966318725
train,1070,3,1,19.974845886999766,7.355431403723414,87.24408665394112
train,1072,0,0,11.226528180154048,11.290415620750368,11.253741046328685
train,1072,0,1,8.291884595910268,8.682306306933299,8.806170634064385
train,1072,1,1,12.55934485157536,12.82155231850331,12.843723606227675
train,1075,1,1,16.322554255598398,17.38095395899051,17.484876751896444
train,1077,0,1,15.866141953390219,15.982778436513744,13.290818979703719
train,1077,1,1,46.39950232284658,14.897440867733385,36.543957492072316
train,1077,2,1,12.070357080537587,12.204263594655268,13.191192175991425
train,1081,0,1,10.174932775615153,10.165335522380412,10.174327482158725
train,1081,3,1,38.83511667241682,12.674770554532563,84.28772030365712
